ODSCode,Class,Status,Name,PrimaryRole,NonPrimaryRoles,OpStart,OpEnd,LiveByRule
04RAW,RC2,Inactive,ASHBOURNE PHYSIO AND SPORTS INJURIES CENTRE,RO99 CLINICAL COMMISSIONING GROUP SITE,,2016-04-01,2020-09-30,no
04RAX,RC2,Inactive,BELPER PHYSIOTHERAPY CLINIC,RO99 CLINICAL COMMISSIONING GROUP SITE,,2017-04-01,2020-09-30,no
5A822,RC2,Inactive,GOLDIE LEIGH (PHYSIO DEPT),RO180 PRIMARY CARE TRUST SITE,,2004-10-01,2020-09-30,no
5AT54,RC2,Inactive,WEST DRAYTON PHYSIOTHERAPY SERVICES,RO180 PRIMARY CARE TRUST SITE,,2009-10-01,2020-09-30,no
5JEDA,RC2,Inactive,PHYSIOTHERAPY OUTPATIENTS,RO180 PRIMARY CARE TRUST SITE,,2005-04-01,2020-09-30,no
5KM11,RC2,Inactive,PHYSIOTHERAPY SERVICE,RO180 PRIMARY CARE TRUST SITE,,2006-04-01,2020-09-30,no
5LC42,RC2,Inactive,MSK GEN PHYSIO,RO180 PRIMARY CARE TRUST SITE,,2012-10-01,2020-09-30,no
5LH08,RC2,Inactive,HYDE PHYSIOTHERAPY CENTRE,RO180 PRIMARY CARE TRUST SITE,,2002-04-01,2020-09-30,no
03FAE,RC2,Active,HULL DENTAL ACCESS CENTRE,RO99 CLINICAL COMMISSIONING GROUP SITE,,2013-10-01,,yes
03NRG,RC2,Active,WHEATA DENTAL CLINIC,RO99 CLINICAL COMMISSIONING GROUP SITE,,2013-04-01,,yes
11JAF,RC2,Active,SMILE DENTAL CARE,RO99 CLINICAL COMMISSIONING GROUP SITE,,2013-03-05,,yes
11JAL,RC2,Inactive,SMILE DENTAL CARE,RO99 CLINICAL COMMISSIONING GROUP SITE,,2013-03-19,2017-06-30,no
503AY,RC2,Active,NORTH HYKEHAM DENTAL CLINIC,RO222 LOCAL AUTHORITY SITE,,2018-04-01,,yes
5A410,RC2,Inactive,ROMFORD DENTAL CLINIC,RO180 PRIMARY CARE TRUST SITE,,2004-04-01,2020-09-30,no
5AF01,RC2,Inactive,MIDGATE DENTAL ACCESS CENTRE,RO180 PRIMARY CARE TRUST SITE,,2004-10-01,2008-10-13,no
5AF19,RC2,Inactive,STANGROUND DENTAL CLINIC,RO180 PRIMARY CARE TRUST SITE,,2004-10-01,2008-10-13,no
5LV10,RC2,Inactive,PHYSIOTHERAPY UNIT,RO180 PRIMARY CARE TRUST SITE,,2005-04-01,2008-10-15,no
5LW13,RC2,Inactive,PHYSIOTHERAPY SERVICE- NORTHAMPTON GENERAL HOSPITAL,RO180 PRIMARY CARE TRUST SITE,,2006-04-01,2008-10-15,no
5LW14,RC2,Inactive,PHYSIOTHERAPY SERVICE - DANETRE HOSPITAL,RO180 PRIMARY CARE TRUST SITE,,2006-04-01,2008-10-15,no
