ODSCode,RecordType,ExpectedRole,orgRecordClass,UPRN,Postcode,Name
RBQ,trust,RO197,(404 - not in live ODS),,,
RX2,trust,RO197,RC1,200004018207,BN13 3EP,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST
A81001,GP practice,RO76,RC1,100110780253,TS18 1HU,THE DENSHAM SURGERY
QMJ,STP/ICB,—,RC1,5170230,N1C 4AG,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
Q69,area team (old),—,RC1,,OX4 2LH,THAMES VALLEY AREA TEAM
RBQ07,SITE (child of RBQ),—,RC2,40074525,L33 1XT,THE TOWER HILL PRIMARY RESOURCE CENTRE
V00003,dental practice,RO110,RC1,100062475349,RH11 7HL,CRABTREE ROAD DENTAL PRACTICE
V00004,dental practice,RO110,RC1,100062341184,GU29 9HH,DENTAL SURGERY
V00009,dental practice,RO110,RC1,100062410052,PO19 1PL,COLOSSEUM DENTAL (LITTLE LONDON)
V00010,dental practice,RO110,RC1,100041039655,EX20 1DZ,OKEHAMPTON DENTAL CARE
V00011,dental practice,RO110,RC1,100062235607,BN16 1NP,SEA ROAD DENTAL PRACTICE
FA002,pharmacy,RO182,RC1,100012787936,SK7 5LD,ROWLANDS PHARMACY
FA019,pharmacy,RO182,RC1,100031218218,NG15 7DR,GALEXA PHARMACY
FA026,pharmacy,RO182,RC1,10001179673,CV9 2EW,GRENDON PHARMACY
FA031,pharmacy,RO182,RC1,100032031834,DN22 7UZ,BRIDGEGATE CHEMIST
FA040,pharmacy,RO182,RC1,200002471916,PO38 2AZ,DAY LEWIS PHARMACY
A0C1W,optical site,RO167,RC1,148009748,EN8 0TZ,M&S OPTICIANS - CHESHUNT
A0F1M,optical site,RO167,RC1,38037377,L4 5PQ,HEALTHY EYES OPTICAL
A0G8C,optical site,RO167,RC1,100062355788,KT10 0PD,D S EYECARE LTD
A1A6S,optical site,RO167,RC1,100021173777,N17 9DL,OPTOVISIT LTD
A1L4S,optical site,RO167,RC1,,SE19 3RY,R WOODFALL (WESTOW STREET)
