ODSCode,OrganisationName,OrganisationType,OrganisationSubType,ParentODSCode,ParentName,City,Postcode,ServicesCount
V002072,Chantry House Dental Practice,Dentist,,QNX,Sussex and East Surrey STP,Bognor Regis,PO22 0EE,0
V017953,Penzance Dental,Dentist,,QT6,Cornwall and the Isles of Scilly Health & Social Care Partnership (STP),Penzance,TR18 2LG,0
OP_MK158PL_46766,Home Eyetest Ltd,Optician,,Q69,Thames Valley Area Team,Milton Keynes,MK15 8PL,0
RBQ07,The Tower Hill Primary Resource Centre,Clinic,NHS Sector,RBQ,Liverpool Heart and Chest NHS Foundation Trust,Liverpool,L33 1XT,0
OP_G328NB_46955,Vision Call South East,Optician,,Q69,Thames Valley Area Team,"Cambuslang, Glasgow",G32 8NB,0
V007182,Newport Dental Practice,Dentist,,QOC,Shropshire and Telford and Wrekin STP,Newport,TF10 7LT,0
V007229,Station House Dental Practice,Dentist,,QOC,Shropshire and Telford and Wrekin STP,Shropshire,TF2 6AG,1
V007250,"Bupa Dental Care, Wellington",Dentist,,QOC,Shropshire and Telford and Wrekin STP,Shropshire,TF1 1DG,2
V028008,Pontesbury Dental Practice,Dentist,,QOC,Shropshire and Telford and Wrekin STP,Shrewsbury,SY5 0QJ,0
V006628,D Chilcott Dental Practice,Dentist,,QOC,Shropshire and Telford and Wrekin STP,Shropshire,TF9 3DD,0
V006055,"mydentist, Station Road, Hednesford",Dentist,,QNC,Staffordhsire and Stoke on Trent STP,Cannock,WS12 4DH,0
V006951_1,Dr. Gilani - Dental Surgery,Dentist,,QUA,The Black Country and West Birmingham STP,Walsall,WS1 3AB,1
V006968,First Dental,Dentist,,QUA,The Black Country and West Birmingham STP,Walsall,WS3 2DG,1
V001522,Key Dental Practice,Dentist,,QUA,The Black Country and West Birmingham STP,Willenhall,WV12 5EA,0
V006988,Aldridge Dental Practice,Dentist,,QUA,The Black Country and West Birmingham STP,Walsall,WS9 8AJ,1
V006076,Prestige Dental Care,Dentist,,QWU,Coventry and Warwickshire STP,Bedworth,CV12 8NA,1
V006366,Brij Dhody Dental Practice,Dentist,,QUA,The Black Country and West Birmingham STP,W Midlands,WV3 8DH,0
V006390,Sean Robert Lowe,Dentist,,QUA,The Black Country and West Birmingham STP,,WV4 6RA,2
V007325,Orthodontics For You,Dentist,,QGH,Herefordshire and Worcestershire STP,Bromsgrove,B61 8DS,1
V008962,Evesham Dental Health Team,Dentist,,QGH,Herefordshire and Worcestershire STP,Evesham,WR11 1BG,3
V008126,Redcliffe Orthodontics,Dentist,,QGH,Herefordshire and Worcestershire STP,Worcester,WR5 2HN,1
V007841,"Bupa Dental Care, Peterborough Werrington",Dentist,,QUE,Cambridgeshire and Peterbrough STP,Cambs,PE4 6NB,0
V007845,"mydentist, Fulbridge Road, Peterborough ",Dentist,,QUE,Cambridgeshire and Peterbrough STP,Peterborough,PE1 3LE,1
